,Principal Component,Coefficient,1_largest_var,1_largest_val,2_largest_var,2_largest_val,3_largest_var,3_largest_val,4_largest_var,4_largest_val,5_largest_var,5_largest_val
60,PC-61,0.0370823945,AreaShape_Zernike_9_3,-0.43470075138380254,AreaShape_Zernike_7_5,-0.3606661011415754,AreaShape_Zernike_9_5,0.35377318030144234,AreaShape_Zernike_9_7,0.2887910087043564,AreaShape_Zernike_7_3,0.25954887145277694
59,PC-60,0.0320346668,AreaShape_NormalizedMoment_1_2,-0.4312368596329239,AreaShape_NormalizedMoment_3_2,0.4219802096370247,AreaShape_Extent,0.30640019393852336,AreaShape_NormalizedMoment_2_2,0.2444039877188252,AreaShape_NormalizedMoment_3_0,-0.23996806696036396
31,PC-32,0.0278558208,Neighbors_NumberOfNeighbors_8,-0.5377690447515989,Neighbors_PercentTouching_8,0.5334452214315375,AreaShape_Zernike_5_5,0.2245379292495225,AreaShape_Zernike_3_1,-0.21505087507898368,AreaShape_Zernike_2_0,0.1872607199390856
4,PC-5,0.0201250842,AreaShape_Center_Y,0.4509790259003044,AreaShape_BoundingBoxMinimum_Y,0.4509679097897968,AreaShape_BoundingBoxMaximum_Y,0.4509672828954124,Neighbors_FirstClosestObjectNumber_8,0.4390715360707711,Neighbors_SecondClosestObjectNumber_8,0.43904471716007515
12,PC-13,0.0196835651,Neighbors_NumberOfNeighbors_8,0.40741570876460187,Neighbors_PercentTouching_8,0.3825417857517794,Neighbors_SecondClosestDistance_8,-0.3152518451508653,Neighbors_FirstClosestDistance_8,-0.2161846789163642,AreaShape_Zernike_3_1,-0.20896400656974748
2,PC-3,0.0194857216,AreaShape_HuMoment_0,0.2986490169754733,AreaShape_Zernike_0_0,-0.25373663309947403,AreaShape_HuMoment_1,0.2526438772924728,AreaShape_NormalizedMoment_2_2,0.24817453636753076,AreaShape_Solidity,-0.24145825249326153
43,PC-44,0.0178386957,AreaShape_Zernike_9_1,0.345952159865813,AreaShape_Zernike_7_1,0.33080397506121895,AreaShape_Zernike_3_1,-0.31006370672171957,AreaShape_Zernike_9_3,-0.2730639666802078,AreaShape_Zernike_4_2,0.2586702028180877
0,PC-1,0.017508914,AreaShape_ConvexArea,0.18150179470720718,AreaShape_Area,0.18075636973630618,AreaShape_CentralMoment_0_0,0.18075636973629902,AreaShape_CentralMoment_0_0,0.18075636973629902,AreaShape_EquivalentDiameter,0.17898842307110507
33,PC-34,0.0165784439,AreaShape_Zernike_5_1,0.4404031163098431,AreaShape_Zernike_5_5,0.38068123651782265,Neighbors_PercentTouching_8,-0.3153015254239257,AreaShape_Zernike_9_7,-0.30307434972156144,Neighbors_NumberOfNeighbors_8,0.27897398667636664
6,PC-7,0.0161470663,AreaShape_HuMoment_5,0.4179983960735011,AreaShape_HuMoment_4,0.4117384462051855,AreaShape_HuMoment_3,0.3997146530713387,AreaShape_HuMoment_2,0.30085230031950944,AreaShape_Eccentricity,-0.15674477125439676
13,PC-14,0.0158842084,AreaShape_NormalizedMoment_1_2,-0.38641972343623726,AreaShape_NormalizedMoment_3_2,-0.3482328882404118,AreaShape_CentralMoment_1_3,0.3238612219565678,AreaShape_NormalizedMoment_3_3,-0.31946093100511525,AreaShape_CentralMoment_1_1,0.28565909839017056
11,PC-12,0.0158216399,AreaShape_NormalizedMoment_2_0,0.45144917720278355,AreaShape_NormalizedMoment_0_2,-0.4343417930843032,AreaShape_CentralMoment_2_1,0.292858771236106,AreaShape_InertiaTensor_0_0,-0.2862816719893005,AreaShape_NormalizedMoment_2_1,0.2819028288886742
10,PC-11,0.0147188192,AreaShape_NormalizedMoment_2_1,-0.3824254172981633,AreaShape_CentralMoment_2_1,-0.36854107251061463,AreaShape_NormalizedMoment_2_3,-0.3144282861172212,AreaShape_CentralMoment_2_3,-0.3052690704671993,AreaShape_NormalizedMoment_0_2,-0.2707041269952493
38,PC-39,0.0143907981,AreaShape_HuMoment_2,-0.3486907032032982,AreaShape_Orientation,-0.30604305511347907,AreaShape_Zernike_2_2,-0.26199227446177975,AreaShape_Zernike_4_2,0.21881827174442886,AreaShape_CentralMoment_1_3,-0.21018439020309326
41,PC-42,0.0141972396,Neighbors_FirstClosestDistance_8,0.46466502619887184,AreaShape_Zernike_4_2,-0.38719271111126763,Neighbors_PercentTouching_8,0.3301840455221816,Neighbors_SecondClosestDistance_8,0.3206649807988621,Neighbors_NumberOfNeighbors_8,0.21152619181760696
