,Principal Component,Coefficient,1_largest_var,1_largest_val,2_largest_var,2_largest_val,3_largest_var,3_largest_val,4_largest_var,4_largest_val,5_largest_var,5_largest_val
28,PC-29,-0.0594595385,AreaShape_Orientation,-0.42759682596027065,AreaShape_CentralMoment_1_3,0.2503730238010771,AreaShape_Zernike_5_3,0.24954926915401102,AreaShape_Zernike_9_5,-0.24785645194447234,AreaShape_Zernike_5_5,-0.23677803208731457
3,PC-4,-0.0578677728,AreaShape_InertiaTensor_1_0,0.38802938337316606,AreaShape_InertiaTensor_0_1,0.388029383373166,AreaShape_NormalizedMoment_1_1,-0.38236795770142196,AreaShape_NormalizedMoment_1_3,-0.33576207724406576,AreaShape_NormalizedMoment_3_1,-0.3331258281362854
47,PC-48,-0.0577683171,AreaShape_Zernike_3_1,0.34908208361542287,AreaShape_Zernike_1_1,-0.3220882881148277,AreaShape_Zernike_7_7,0.3193587956223688,AreaShape_Zernike_9_1,-0.3006949501565385,AreaShape_Zernike_9_9,-0.2970042896074847
26,PC-27,-0.045779564,AreaShape_HuMoment_6,-0.39063497081347565,AreaShape_Zernike_5_1,0.38086220649357067,AreaShape_Zernike_5_3,-0.21453250696300394,Neighbors_AngleBetweenNeighbors_8,0.2100082002614766,AreaShape_Orientation,0.20417965691356563
24,PC-25,-0.0454609,Neighbors_AngleBetweenNeighbors_8,-0.8968650323945381,AreaShape_HuMoment_6,-0.21182752774792787,Neighbors_NumberOfNeighbors_8,0.163580844963252,AreaShape_Zernike_5_1,0.14241973787850243,AreaShape_Zernike_2_0,0.12796526542781253
22,PC-23,-0.0446140564,AreaShape_EulerNumber,-0.9594520685629073,AreaShape_CentralMoment_0_1,0.24382455402772615,AreaShape_CentralMoment_1_0,0.11506858074819364,AreaShape_CentralMoment_2_1,-0.027703641789552463,AreaShape_NormalizedMoment_2_3,0.025935431915837415
35,PC-36,-0.0445914039,AreaShape_Zernike_7_5,0.3606738554581245,AreaShape_Zernike_7_7,-0.31177506019686363,AreaShape_Zernike_3_1,0.27784142470442047,AreaShape_Zernike_2_2,-0.2720959739003981,AreaShape_Zernike_6_2,-0.26506254084599884
65,PC-66,-0.0430355254,AreaShape_CentralMoment_2_1,0.4639101032228544,AreaShape_CentralMoment_2_3,-0.34789071360136564,AreaShape_NormalizedMoment_2_1,-0.34700527979015355,AreaShape_CentralMoment_0_3,0.27517193690479363,AreaShape_NormalizedMoment_2_3,0.26995531744583423
15,PC-16,-0.041523802,AreaShape_Zernike_1_1,0.4234416686488317,AreaShape_NormalizedMoment_2_3,-0.34698878164527963,AreaShape_Zernike_3_1,0.3303147387757086,AreaShape_NormalizedMoment_0_3,-0.3238307900803141,AreaShape_NormalizedMoment_1_2,-0.25280982815484854
8,PC-9,-0.0402517498,AreaShape_BoundingBoxMinimum_X,0.4983703028242208,AreaShape_Center_X,0.49833315092241587,AreaShape_BoundingBoxMaximum_X,0.4980046411492486,AreaShape_SpatialMoment_2_3,0.15280831686497842,AreaShape_SpatialMoment_1_3,0.14067511035387031
56,PC-57,-0.0399977988,Neighbors_FirstClosestObjectNumber_8,0.38556454947587826,Neighbors_SecondClosestObjectNumber_8,0.3849991255604781,AreaShape_Solidity,-0.3085045778889761,AreaShape_FormFactor,0.28160271533795994,AreaShape_Center_Y,-0.2509330971094349
66,PC-67,-0.0240669547,AreaShape_CentralMoment_2_2,-0.4656512510104097,AreaShape_HuMoment_4,0.3705480136115396,AreaShape_FormFactor,0.24099548369009616,AreaShape_HuMoment_5,-0.22716054860405546,AreaShape_HuMoment_3,-0.2083872693855769
55,PC-56,-0.0206061369,AreaShape_NormalizedMoment_3_1,0.5002738749188277,AreaShape_NormalizedMoment_1_3,-0.47431303510597633,AreaShape_NormalizedMoment_1_2,0.32969759825683226,AreaShape_NormalizedMoment_3_2,-0.3220998901403992,AreaShape_NormalizedMoment_3_0,0.2104956864202664
27,PC-28,-0.0178782645,AreaShape_Orientation,0.4427584034298145,AreaShape_Zernike_5_3,0.32526187691236963,AreaShape_CentralMoment_1_3,-0.2684524756605988,AreaShape_NormalizedMoment_3_3,-0.2373056994773211,AreaShape_CentralMoment_1_2,0.23700791986587338
20,PC-21,-0.0058651494,AreaShape_HuMoment_6,-0.5647425680857279,AreaShape_HuMoment_1,-0.24017876903847465,AreaShape_HuMoment_4,0.2260122117888267,AreaShape_Zernike_2_0,0.21883902122764326,AreaShape_NormalizedMoment_2_2,-0.20964049738616808
50,PC-51,-0.005507099,AreaShape_Zernike_9_9,-0.4258077582343995,AreaShape_NormalizedMoment_2_2,0.3347450272881873,AreaShape_Zernike_9_7,0.280159036715041,AreaShape_NormalizedMoment_2_3,-0.27714959944563483,AreaShape_CentralMoment_2_1,0.22899805264672324
34,PC-35,-0.005216649,AreaShape_NormalizedMoment_2_0,0.35518929200430066,AreaShape_NormalizedMoment_0_2,-0.3328435482274528,AreaShape_SpatialMoment_2_0,-0.3042020830133301,AreaShape_CentralMoment_2_0,-0.2817372045344831,AreaShape_SpatialMoment_0_3,0.2707894307236669
46,PC-47,-0.002894384,AreaShape_Zernike_7_1,-0.5029805944740163,AreaShape_Zernike_9_1,0.40919571938878785,AreaShape_Zernike_9_5,-0.33642750622875833,AreaShape_Zernike_7_7,-0.31393226339651265,AreaShape_Zernike_9_7,0.2555669662702903
42,PC-43,-0.0017133736,AreaShape_HuMoment_2,0.4540311369078174,AreaShape_Zernike_4_2,0.3894576761876779,AreaShape_Zernike_6_6,-0.24741594554352372,AreaShape_Zernike_8_6,-0.2048486142158007,AreaShape_HuMoment_5,-0.19561650697541716
68,PC-69,-0.0006083009,AreaShape_HuMoment_4,0.45397924759317976,AreaShape_CentralMoment_2_2,0.3592652352766757,AreaShape_HuMoment_3,-0.2819756083922874,AreaShape_HuMoment_5,-0.2567153186131516,AreaShape_NormalizedMoment_2_3,0.23692854241744674
